Song,Date,Number of Plays
Cindelyn,2014-11-02,577
Perry,1925-09-05,907
Esmeralda,1917-01-28,243
Robinia,1973-12-10,83
Annice,2007-01-27,744
Blinni,1971-12-16,286
Jere,2011-04-22,365
Wendi,1913-04-19,343
Alex,2008-09-15,17
Clary,1913-06-24,745
Elena,1988-07-05,154
Imojean,1977-06-12,338
Gwyneth,1978-05-19,775
Justinn,1905-10-01,160
Shaine,2008-05-13,736
Madelle,1939-10-24,723
Juliane,1966-12-27,821
Ira,1977-03-26,914
Pearline,1921-02-24,972
Henriette,1979-07-01,502
Cristabel,2006-08-20,580
Tori,1956-08-13,77
Wynne,2016-11-06,893
Bertine,1976-08-22,502
Dulcinea,1981-07-14,928
Coral,1939-03-25,166
Sherrie,1994-06-13,972
Alex,1915-03-03,232
Madalyn,2014-03-23,198
Emelina,2015-06-23,86
Theodora,1921-02-27,990
Rosaline,1964-10-02,540
Charmaine,1929-09-26,919
Lauryn,1955-05-19,531
Wileen,2016-08-25,300
Myrtice,1985-03-25,343
Zondra,1954-03-11,947
Dari,1927-10-07,993
Cristabel,1965-06-14,648
Alex,1999-09-10,968
Glenda,1927-08-10,856
Elsie,2001-03-11,301
Darci,2014-09-16,621
Kial,1933-11-25,727
Harmonia,1937-10-05,957
Cherrita,1996-12-24,465
Max,1993-02-08,80
Wanda,1921-08-26,823
Linet,1955-12-02,111
Felice,1902-07-30,973
Sonni,1939-12-29,438
Almeta,2009-02-23,619
Maud,1945-10-05,829
Layla,1989-04-15,711
Gertrud,1909-03-12,593
Talya,1923-09-18,660
Phylis,1912-08-19,421
Roxane,1906-05-19,338
Catrina,2000-06-20,635
Kaja,1946-02-13,37
Aigneis,1925-12-23,687
Marcelline,1978-09-18,988
Elsie,1939-10-20,266
Cathyleen,1955-09-17,38
Karolina,1987-10-12,379
Orsola,2001-04-18,615
Mariele,1914-08-28,65
Liana,1922-05-13,181
Blinni,1940-08-22,376
Carol-Jean,2014-06-11,349
Zaria,2006-07-31,185
Sherrie,1916-08-24,169
Silvana,1999-08-18,341
Elora,2004-05-07,777
Henriette,2005-06-23,638
Lonnie,1997-09-29,625
Imojean,1958-01-10,46
Queenie,2015-12-13,699
Danny,1917-05-30,55
Kalina,1907-06-02,976
Berta,2017-06-05,971
Yvonne,1995-03-03,853
Wendi,1988-07-12,841
Micheline,1921-03-04,946
Karolina,2016-02-11,313
Katleen,1907-04-17,281
Priscilla,1950-11-11,146
Fanny,1965-03-18,255
Hildegaard,1955-04-13,932
Calla,1938-08-31,539
Brandise,2000-01-02,208
Rubie,1956-09-10,640
Aeriela,1920-06-05,389
Deane,1966-08-29,75
Kore,1953-05-01,518
Alexine,2004-06-29,520
Marsiella,1911-06-09,139
Marsiella,1931-11-15,638
Darlleen,1953-03-07,438
Tersina,1992-01-21,257
Julieta,1927-10-25,643
Kirbee,1988-04-22,207
Feliza,1933-11-05,407
Willetta,1987-09-30,852
Molli,1946-03-14,973
Grier,1917-12-20,626
Rhoda,1941-09-10,477
Sabina,1965-11-25,298
Hallie,1973-12-16,609
Angelique,1949-08-17,421
Steffane,1969-08-08,369
Kelly,1951-04-08,171
Edyth,1976-10-08,668
Aimil,1967-07-04,453
Dione,1920-09-09,551
Ricky,1967-01-09,442
Reeba,2018-01-12,615
Monika,1943-09-12,807
Kelly,1961-05-21,923
Heddie,1905-03-18,667
Raquela,1918-02-25,942
Sophia,1980-04-26,539
Stephanie,1950-10-25,48
Ricky,2002-02-24,421
Audrie,2004-08-07,27
Britte,1950-07-05,336
Ulrike,1941-07-23,271
Brena,2008-05-12,286
Maridel,1915-03-28,196
Charlena,1968-11-26,350
Winifred,1902-11-16,868
Jean,1936-01-14,937
Ricky,1949-04-07,284
Suzette,1974-10-17,343
Brena,2001-10-30,184
Belinda,1953-04-24,680
Dode,2009-12-24,134
Luci,1942-01-05,262
Gerrie,1906-03-03,1
Sibella,1913-05-06,864
Nessie,1974-08-31,563
Merle,1933-08-24,454
Ginnie,1914-09-29,874
Norine,1945-06-18,732
Fina,1943-10-31,721
Jenilee,1963-08-02,669
Jorry,1930-11-06,986
Melanie,1922-02-09,851
Margette,1942-11-16,125
Candi,1943-03-14,309
Ofilia,1946-04-19,814
Shannah,1905-03-07,44
Dagmar,1951-10-25,676
Nananne,1996-05-21,50
Justinn,1958-02-17,744
Deloria,1988-04-30,23
Emelina,1957-06-08,709
Consuela,1902-02-24,729
Shel,1921-03-22,116
Sue,1980-12-03,527
Ardeen,1990-03-15,576
Lucille,1956-09-11,408
Chrystel,1953-03-20,508
Brana,1927-05-25,866
Claresta,1924-04-11,761
Ariela,1900-09-21,1000
Cecile,1991-11-27,30
Brietta,1970-12-03,314
Madalyn,1906-10-30,448
Neila,1902-02-16,644
Rani,1996-08-08,203
Madelle,1958-06-08,994
Blinni,2007-12-27,255
Verla,1935-05-18,777
Mady,1975-12-18,383
Marcelline,1967-06-30,824
Nadine,1946-07-05,797
Basia,1910-01-15,548
Averyl,1924-05-15,747
Cathyleen,1974-01-23,709
Lanae,1929-11-27,611
Fanny,1940-11-25,515
Chickie,1933-01-20,777
Loree,1976-06-20,634
Alex,1976-10-05,94
Caritta,1926-06-02,341
Nariko,1934-10-19,266
Karina,1933-04-02,474
