Song,Date,Total Number of Plays for Date
Aaren,1907-11-12,641
Aaren,1918-09-14,877
Aaren,1921-04-29,396
Aaren,1924-01-18,418
Aaren,1925-09-23,564
Aaren,1930-04-23,722
Aaren,1948-11-25,788
Aaren,1953-01-03,545
Aaren,1957-07-29,68
Aaren,1960-09-01,498
Aaren,1961-02-09,154
Aaren,1972-01-12,874
Aaren,1976-07-09,279
Aaren,1980-08-28,369
Aaren,1990-02-27,978
Aaren,1993-05-11,202
Abbie,1905-06-14,929
Abbie,1912-08-07,33
Abbie,1922-05-22,779
Abbie,1923-03-29,775
Abbie,1948-12-04,924
Abbie,1951-06-01,147
Abbie,1958-03-07,577
Abbie,1958-07-20,483
Abbie,1962-12-20,309
Abbie,1973-12-17,284
Abbie,1976-09-20,500
Abbie,1985-08-08,743
Abbie,1999-09-03,17
Abbie,2015-03-18,391
Abbie,2016-02-06,596
Ada,1914-06-15,563
Ada,1917-11-04,487
Ada,1919-03-16,866
Ada,1923-09-12,858
Ada,1925-02-05,524
Ada,1926-01-30,319
Ada,1929-08-05,751
Ada,1935-03-06,529
Ada,1942-08-12,718
Ada,1943-02-23,643
Ada,1950-02-23,805
Ada,1950-05-20,26
Ada,1953-06-13,149
Ada,1957-11-05,864
Ada,1964-10-22,586
Ada,1968-04-09,598
Ada,1989-08-30,676
Ada,1992-08-26,309
Ada,2003-01-06,860
Ada,2005-07-09,160
Ada,2009-08-02,264
Ada,2010-07-24,262
Ada,2013-05-01,676
Addia,1902-12-04,5
Addia,1914-06-24,310
Addia,1918-08-25,985
Addia,1932-12-28,134
Addia,1944-11-28,77
Addia,1960-04-25,34
Addia,1977-07-21,700
Addia,1987-08-11,92
Addia,2001-01-09,614
Addia,2010-10-21,465
Addia,2012-03-23,767
Adele,1906-10-26,493
Adele,1907-02-16,566
Adele,1909-07-03,746
Adele,1924-03-17,874
Adele,1952-07-29,249
Adele,1954-08-27,457
Adele,1958-03-10,625
Adele,1965-08-22,536
Adele,1969-07-05,174
Adele,1972-09-29,263
Adele,1973-04-29,449
Adele,1993-04-24,211
Adele,1997-08-23,339
Adele,2010-10-16,963
Adele,2017-02-12,400
Adelle,1921-11-17,50
Adelle,1924-01-07,318
Adelle,1932-08-02,895
Adelle,1946-08-16,338
Adelle,1947-09-02,178
Adelle,1969-02-02,804
Adelle,1969-09-23,796
Adelle,1970-01-13,771
Adelle,1974-07-04,177
Adelle,1981-09-15,619
Adelle,1986-11-13,139
Adelle,2005-11-10,703
Adore,1901-05-11,317
Adore,1913-08-29,470
Adore,1924-01-02,657
Adore,1931-10-19,299
Adore,1970-12-28,29
Adore,1975-06-09,634
Adore,1983-05-20,486
Adore,1985-06-08,160
Adore,1988-04-06,220
Adore,1993-12-01,362
Adore,2004-06-18,378
Adore,2005-02-27,977
Adore,2010-02-22,822
Adore,2018-02-18,748
Adriana,1900-07-08,560
Adriana,1900-10-22,96
Adriana,1921-06-05,905
Adriana,1927-03-14,394
Adriana,1932-05-18,601
Adriana,1945-06-25,891
Adriana,1948-11-25,786
Adriana,1960-05-08,727
Adriana,1961-04-04,990
Adriana,1962-12-08,785
Adriana,1974-05-29,94
Adriana,2002-02-11,779
Aeriela,1910-12-14,848
Aeriela,1920-06-05,389
Aeriela,1932-06-20,964
Aeriela,1943-03-12,94
Aeriela,1943-10-03,860
Aeriela,1944-06-14,902
Aeriela,1945-09-03,36
Aeriela,1953-08-04,454
Aeriela,1955-05-10,542
Aeriela,1958-11-13,937
Aeriela,1969-09-06,737
Aeriela,1976-12-22,723
Aeriela,1979-07-06,627
Aeriela,1982-12-19,368
Aeriela,1986-04-15,735
Aeriela,1998-03-24,957
Aeriela,1998-12-26,638
Aeriela,2002-09-03,64
Aeriela,2003-06-25,64
Aeriela,2012-06-15,796
Aeriela,2013-04-11,544
Aeriela,2014-09-01,900
Agathe,1915-02-27,632
Agathe,1916-08-20,148
Agathe,1918-01-15,140
Agathe,1931-01-29,531
Agathe,1944-06-09,258
Agathe,1954-10-04,214
Agathe,1957-12-31,363
Agathe,1967-05-25,208
Agathe,1968-07-24,959
Agathe,1975-06-08,179
Agathe,1980-03-11,813
Agathe,1982-06-05,961
Agathe,1985-08-22,483
Agathe,1986-09-19,83
Agathe,1991-11-08,330
Agathe,1997-08-20,379
Agathe,1998-03-13,479
Agathe,2008-05-04,913
Agathe,2013-11-01,141
Agathe,2016-08-19,715
Agathe,2019-06-17,103
Agnese,1910-01-22,547
Agnese,1911-10-05,286
Agnese,1930-06-17,93
Agnese,1965-02-08,996
Agnese,1965-11-14,171
Agnese,1979-12-30,179
Agnese,1989-12-07,927
Agnese,1991-04-15,613
Agnese,1993-03-01,221
Agnese,2003-07-27,147
Agnese,2004-12-26,250
Agnese,2006-03-09,486
Agnese,2007-02-06,395
Agnese,2009-05-22,411
Agnese,2009-10-25,380
Agnese,2014-05-29,791
Aigneis,1912-10-10,874
Aigneis,1915-11-05,102
Aigneis,1925-12-23,687
Aigneis,1926-10-31,386
Aigneis,1932-09-17,147
Aigneis,1937-04-10,645
Aigneis,1950-12-24,379
Aigneis,1953-11-09,407
Aigneis,1956-06-28,190
Aigneis,1988-10-28,794
Aigneis,1989-02-26,881
Aigneis,2008-12-23,937
Aigneis,2012-02-29,519
Aigneis,2019-10-15,858
Aili,1921-01-20,630
Aili,1926-07-22,530
Aili,1927-10-18,866
Aili,1944-09-11,114
Aili,1954-10-23,451
Aili,1970-09-08,679
Aili,1997-12-24,135
Aili,1999-06-09,792
Aili,2004-01-29,973
Aili,2006-02-02,309
Aili,2008-05-16,585
Aili,2011-02-13,332
Aili,2011-09-07,169
Aili,2019-07-05,376
Aimil,1909-12-29,324
Aimil,1911-07-05,364
Aimil,1913-05-29,535
Aimil,1926-08-26,380
Aimil,1929-04-05,415
Aimil,1931-09-04,680
Aimil,1943-10-15,749
Aimil,1947-09-24,156
Aimil,1950-06-19,889
Aimil,1954-08-23,408
Aimil,1957-04-21,874
Aimil,1959-09-27,476
Aimil,1961-12-19,442
Aimil,1967-07-04,453
Aimil,1968-05-21,562
Aimil,1969-05-15,279
Aimil,1981-09-24,317
Aimil,1987-07-08,214
Aimil,1999-01-08,771
Aimil,2004-03-09,229
Aimil,2009-03-30,298
Aimil,2014-09-20,568
Alameda,1900-07-08,266
Alameda,1918-10-22,215
Alameda,1921-10-07,523
Alameda,1924-05-26,357
Alameda,2000-07-22,649
Alameda,2004-09-04,84
Alameda,2009-11-02,206
Alameda,2010-08-05,875
Albertina,1904-06-02,506
Albertina,1921-02-22,141
Albertina,1939-07-03,209
Albertina,1944-09-15,440
Albertina,1946-05-02,20
Albertina,1949-06-16,900
Albertina,1952-06-30,648
Albertina,1978-10-26,738
Albertina,1979-04-02,419
Albertina,1994-03-07,450
Albertina,1995-02-21,233
Albertina,1995-07-13,478
Albertina,1999-04-08,605
Albertina,2007-11-05,39
Albertina,2012-06-21,217
Albertina,2013-07-04,549
Alejandra,1902-05-15,897
Alejandra,1931-02-10,201
Alejandra,1936-10-11,833
Alejandra,1938-05-05,815
Alejandra,1962-06-27,376
Alejandra,1971-02-19,342
Alejandra,1974-01-07,915
Alejandra,1976-03-24,661
Alejandra,1976-04-27,329
Alejandra,1976-09-10,83
Alejandra,1979-02-10,594
Alejandra,1990-01-02,438
Alejandra,1992-08-27,500
Alex,1904-01-20,939
Alex,1907-12-05,771
Alex,1913-09-11,282
Alex,1915-03-03,232
Alex,1919-12-20,961
Alex,1922-12-01,287
Alex,1931-06-26,39
Alex,1935-08-16,839
Alex,1963-05-07,644
Alex,1963-11-20,493
Alex,1971-11-27,283
Alex,1976-10-05,94
Alex,1977-01-30,606
Alex,1982-12-06,396
Alex,1983-11-27,811
Alex,1994-12-24,45
Alex,1999-09-10,968
Alex,2005-10-26,315
Alex,2008-09-15,17
Alex,2018-03-28,998
Alexine,1904-04-26,254
Alexine,1906-11-22,452
Alexine,1920-08-02,944
Alexine,1941-01-29,211
Alexine,1941-06-22,218
Alexine,1959-01-26,352
Alexine,1960-09-29,839
Alexine,2004-06-29,520
Alexine,2010-05-07,732
Alexine,2013-01-05,884
Alexine,2017-07-03,972
Alia,1904-06-21,327
Alia,1905-04-05,966
Alia,1909-11-03,742
Alia,1916-04-03,634
Alia,1922-02-12,967
Alia,1925-02-23,566
Alia,1926-05-04,761
Alia,1937-03-22,97
Alia,1940-04-13,573
Alia,1940-11-24,848
Alia,1942-07-13,961
Alia,1947-08-03,942
Alia,1953-04-05,713
Alia,1968-09-11,900
Alia,1971-04-03,610
Alia,1977-08-11,814
Alia,1980-01-31,320
Alia,1980-06-09,117
Alia,1983-03-28,377
Alia,1994-07-21,724
Alia,2010-05-03,890
Alia,2014-03-13,301
Alia,2015-01-19,954
Alie,1900-09-20,435
Alie,1901-07-06,990
Alie,1915-05-25,233
Alie,1920-12-26,457
Alie,1921-08-14,38
Alie,1930-03-21,467
Alie,1942-11-05,894
Alie,1944-11-29,673
Alie,1948-01-12,702
Alie,1950-06-13,545
Alie,1966-09-17,612
Alie,1967-09-11,606
Alie,1972-08-25,152
Alie,1972-09-25,300
Alie,1986-02-13,395
Alie,1988-04-01,58
Alie,1988-04-19,43
Alie,1990-02-28,609
Alisha,1914-02-09,889
Alisha,1917-04-26,364
Alisha,1917-04-30,430
Alisha,1924-03-06,147
Alisha,1927-07-29,382
Alisha,1932-10-28,923
Alisha,1943-12-23,65
Alisha,1952-02-26,12
Alisha,1959-05-13,688
Alisha,1962-01-05,659
Alisha,1967-02-04,608
Alisha,1990-12-11,344
Alisha,1991-05-09,749
Alisha,1994-11-13,316
Alisha,2000-02-17,40
Alisha,2003-05-26,583
Alisha,2012-03-03,345
Alleen,1902-03-16,542
Alleen,1908-07-13,819
Alleen,1915-10-16,319
Alleen,1920-06-24,677
Alleen,1924-02-11,822
Alleen,1933-11-29,860
Alleen,1940-01-18,124
Alleen,1955-11-29,725
Alleen,1967-04-26,207
Alleen,2000-12-27,13
Alleen,2010-09-06,72
Alleen,2019-01-25,639
Allis,1941-01-27,479
Allis,1950-12-10,264
Allis,1952-12-09,263
Allis,1960-12-29,193
Allis,1968-12-03,900
Allis,1992-05-27,665
